posicao;titulo;autor;preco;dt
1;As Mentiras Que os Homens Cont...;Luis Fernando Verissimo;11.25;2024-03-29 14:22:26.272763
2;Rápido e Devagar: Duas Formas ...;Daniel Kahneman;49.99;2024-03-29 14:22:26.371534
3;Ninguém é de Ninguém;Gasparetto, Zibia;6.0;2024-03-29 14:22:26.441446
4;Um Homem;Oriana Fallaci;10.0;2024-03-29 14:22:26.505491
5;O Poder da Esposa Que Ora;Stormie Omartian;6.0;2024-03-29 14:22:26.568890
6;O avesso da pele;Jeferson Tenorio;54.68;2024-03-29 14:22:26.655995
7;Os Pinguins do Sr. Popper;Richard e Florence Atwa...;6.0;2024-03-29 14:22:26.749946
8;Aquele Garoto e os Segredos da...;Marcel Nilo;6.0;2024-03-29 14:22:26.817390
9;Os Clássicos da Política Vol. ...;Francisco C. Weffort;28.0;2024-03-29 14:22:26.890143
10;O Problema dos Três Corpos;Cixin Liu;10.0;2024-03-29 14:22:26.962359
11;A Droga da Obediência;Pedro Bandeira;8.99;2024-03-29 14:22:27.034127
12;O Caibalion;Três Iniciados;19.0;2024-03-29 14:22:27.103940
13;Vidas Secas;Graciliano Ramos;6.0;2024-03-29 14:22:27.176228
14;A Revolução dos Bichos;George Orwell;7.99;2024-03-29 14:22:27.272166
15;Estórias de Bichos;Rubem Alves;8.53;2024-03-29 14:22:27.363123
16;Bitcoin Red Pill : O Renascime...;Alan Schramm / Renato A...;49.43;2024-03-29 14:22:27.468483
17;O Espiritismo Aplicado;Eliseu Rigonatti;6.0;2024-03-29 14:22:27.551235
18;A Ilha Perdida;Maria José Dupré;19.0;2024-03-29 14:22:27.631956
19;A Roda da Vida;Elisabeth Kubler Ross;9.0;2024-03-29 14:22:27.717394
20;Terra Sonâmbula;Mia Couto;13.0;2024-03-29 14:22:27.799880
21;O Velho e o Mar;Ernest Hemingway;14.9;2024-03-29 14:22:27.869549
22;Violetas na Janela;Vera Lúcia Marinzeck de...;10.0;2024-03-29 14:22:27.938728
23;Comunicação Não-violenta;Marshall B. Rosenberg;57.9;2024-03-29 14:22:28.033351
24;O Menino do Pijama Listrado;John Boyne;18.0;2024-03-29 14:22:28.109605
